id_item,id_pedido,id_produto,quantidade,valor_unitario
101,36,20,1,1843.17
102,36,30,2,1999.15
103,36,5,4,487.33
104,37,21,4,257.46
105,37,56,1,1600.63
106,37,64,1,836.83
107,38,46,5,1731.17
108,38,63,4,1022.66
109,38,64,1,836.83
110,38,93,2,158.91
111,39,45,1,240.68
112,40,37,2,702.44
113,40,22,5,1402.47
114,41,73,5,572.85
115,41,28,5,465.56
116,41,1,5,129.86
117,42,54,1,881.85
118,42,32,4,946.3
119,43,43,1,83.03
120,44,88,1,670.67
121,44,51,3,1254.56
122,44,76,1,1731.87
123,45,20,1,1843.17
124,45,11,4,151.65
125,45,91,4,40.54
126,46,81,3,1147.88
127,46,77,1,1081.78
128,46,43,1,83.03
129,46,84,5,1413.4
130,47,42,5,1629.0
131,47,17,2,152.11
132,47,7,3,822.95
133,47,42,1,1629.0
134,48,71,5,686.35
135,49,12,4,1848.58
136,49,33,2,1832.98
137,49,31,4,1156.73
138,49,12,1,1848.58
139,50,21,4,257.46
140,50,100,4,1238.74
141,51,83,2,96.86
142,51,16,3,1817.74
143,51,63,4,1022.66
144,52,88,5,670.67
145,52,17,3,152.11
146,52,86,1,995.7
147,53,66,2,919.01
148,53,63,4,1022.66
149,53,50,4,1249.04
150,54,73,5,572.85
151,54,55,1,251.64
152,54,97,4,766.22
153,55,79,2,760.65
154,55,56,4,1600.63
155,55,12,1,1848.58
156,56,60,2,928.28
157,56,83,2,96.86
158,56,64,5,836.83
159,57,38,4,648.91
160,58,11,4,151.65
161,58,39,2,1716.89
162,58,17,3,152.11
163,58,32,5,946.3
164,59,38,5,648.91
165,59,7,5,822.95
166,59,10,1,1408.95
167,59,66,1,919.01
168,60,53,1,270.72
169,60,60,5,928.28
170,60,33,3,1832.98
171,60,33,5,1832.98
172,61,99,5,1746.04
173,62,15,4,457.37
174,63,24,4,881.14
175,63,6,1,159.38
176,64,91,3,40.54
177,64,41,5,583.55
178,64,93,4,158.91
179,64,97,4,766.22
180,65,44,2,635.89
181,65,28,2,465.56
182,65,11,5,151.65
183,66,87,1,261.23
184,66,56,5,1600.63
185,66,3,1,1254.77
186,67,15,1,457.37
187,67,22,4,1402.47
188,67,59,4,457.15
189,67,85,5,778.3
190,68,39,5,1716.89
191,68,79,3,760.65
192,68,89,4,1749.64
193,68,39,1,1716.89
194,69,18,1,1587.33
195,69,25,1,89.32
196,70,90,2,208.43
197,71,27,4,508.23
198,72,84,2,1413.4
199,72,56,5,1600.63
200,73,12,3,1848.58
201,73,99,4,1746.04
202,74,61,4,1298.94
203,74,3,1,1254.77
204,75,20,4,1843.17
205,75,63,4,1022.66
206,76,58,5,1108.98
207,77,26,3,1471.72
208,77,73,4,572.85
209,78,43,1,83.03
210,79,81,4,1147.88
211,80,64,5,836.83
212,80,77,5,1081.78
213,80,38,1,648.91
214,80,63,4,1022.66
215,81,66,5,919.01
216,81,93,5,158.91
217,81,87,4,261.23
218,81,30,1,1999.15
219,82,55,5,251.64
220,83,71,1,686.35
221,83,35,4,1273.22
222,83,61,1,1298.94
223,84,80,3,1740.51
224,84,58,4,1108.98
225,84,3,2,1254.77
226,84,37,2,702.44
227,85,45,4,240.68
228,85,30,5,1999.15
229,85,29,5,1178.37
230,85,88,3,670.67
231,86,17,3,152.11
232,86,93,4,158.91
233,86,54,3,881.85
234,86,61,2,1298.94
235,87,37,1,702.44
236,87,86,4,995.7
237,88,23,2,1005.94
238,88,21,5,257.46
239,89,13,4,1325.75
240,89,64,3,836.83
241,89,31,2,1156.73
242,89,72,1,541.67
243,90,46,3,1731.17
244,91,87,2,261.23
245,91,23,5,1005.94
246,91,5,1,487.33
247,92,56,1,1600.63
248,92,80,2,1740.51
249,92,16,5,1817.74
250,93,63,3,1022.66
251,93,44,3,635.89
252,94,99,5,1746.04
253,95,20,5,1843.17
254,95,78,1,671.56
255,95,91,1,40.54
256,96,59,1,457.15
257,96,14,5,856.03
258,96,79,1,760.65
259,96,72,1,541.67
260,97,22,1,1402.47
261,98,47,2,1318.74
262,98,94,3,683.74
263,99,98,5,1257.33
264,99,64,1,836.83
265,99,20,3,1843.17
266,99,43,2,83.03
267,100,26,4,1471.72
268,101,99,1,1746.04
269,101,32,4,946.3
270,101,44,3,635.89
271,101,65,2,1960.69
272,102,35,3,1273.22
273,103,47,2,1318.74
274,103,20,5,1843.17
275,103,54,2,881.85
276,103,18,4,1587.33
277,104,53,4,270.72
278,104,67,3,773.34
279,104,4,4,1324.25
280,104,19,1,1500.43
281,105,11,3,151.65
282,106,52,2,415.08
283,106,56,1,1600.63
284,106,51,1,1254.56
285,107,74,1,1676.58
286,107,81,5,1147.88
287,108,54,4,881.85
288,108,88,5,670.67
289,108,39,3,1716.89
290,109,2,3,1895.7
291,109,68,5,1021.4
292,109,19,4,1500.43
293,110,83,2,96.86
294,110,70,5,1547.62
295,110,80,4,1740.51
296,110,90,3,208.43
297,111,100,2,1238.74
298,111,39,1,1716.89
299,111,5,5,487.33
300,111,43,4,83.03
301,112,67,5,773.34
302,112,37,2,702.44
303,113,66,5,919.01
304,114,67,3,773.34
305,114,97,2,766.22
306,114,3,1,1254.77
307,115,31,3,1156.73
308,115,93,4,158.91
309,115,65,1,1960.69
310,116,48,3,929.33
311,117,16,1,1817.74
312,117,97,1,766.22
313,117,58,3,1108.98
314,118,59,3,457.15
315,119,96,5,1706.16
316,119,73,5,572.85
317,120,45,3,240.68
318,120,37,5,702.44
319,121,92,4,825.86
320,121,67,2,773.34
321,122,42,5,1629.0
322,123,100,3,1238.74
323,123,59,1,457.15
324,124,92,4,825.86
325,124,53,1,270.72
326,125,8,4,945.13
327,126,61,2,1298.94
328,126,58,1,1108.98
329,127,87,5,261.23
330,127,52,5,415.08
331,127,72,5,541.67
332,128,34,5,1993.92
333,128,64,4,836.83
334,128,57,4,628.39
335,128,94,4,683.74
336,129,19,5,1500.43
337,129,17,4,152.11
338,130,17,5,152.11
339,130,68,1,1021.4
340,130,89,2,1749.64
341,130,59,4,457.15
342,131,96,2,1706.16
343,132,16,5,1817.74
344,132,53,1,270.72
345,132,16,3,1817.74
346,133,6,5,159.38
347,133,20,1,1843.17
348,133,48,3,929.33
349,134,39,3,1716.89
350,134,63,1,1022.66
351,134,19,2,1500.43
352,135,7,3,822.95
353,135,37,2,702.44
354,135,24,4,881.14
355,135,1,1,129.86
356,136,9,1,470.64
357,136,54,4,881.85
358,136,74,3,1676.58
359,137,44,4,635.89
360,137,61,5,1298.94
361,137,17,2,152.11
362,137,65,4,1960.69
363,138,86,4,995.7
364,138,20,3,1843.17
365,138,12,5,1848.58
366,138,86,5,995.7
367,139,50,2,1249.04
368,139,51,3,1254.56
369,139,70,1,1547.62
370,139,86,4,995.7
371,140,83,1,96.86
372,140,22,1,1402.47
373,140,74,3,1676.58
374,141,83,5,96.86
375,142,25,5,89.32
376,143,73,5,572.85
377,144,97,4,766.22
378,144,65,1,1960.69
379,145,85,5,778.3
380,146,3,3,1254.77
381,146,27,2,508.23
382,147,11,5,151.65
383,147,78,3,671.56
384,147,52,5,415.08
385,147,6,4,159.38
386,148,44,4,635.89
387,149,54,1,881.85
388,149,68,3,1021.4
389,150,33,1,1832.98
390,150,15,1,457.37
391,150,70,2,1547.62
392,150,37,2,702.44
393,151,33,1,1832.98
394,151,20,3,1843.17
395,152,87,2,261.23
396,152,8,5,945.13
397,152,42,2,1629.0
398,152,4,1,1324.25
399,153,50,1,1249.04
400,153,41,2,583.55
401,153,53,3,270.72
402,154,49,1,383.29
403,154,7,2,822.95
404,154,31,5,1156.73
405,155,64,5,836.83
406,155,97,5,766.22
407,156,15,3,457.37
408,156,8,3,945.13
409,156,60,5,928.28
410,156,53,1,270.72
411,157,4,4,1324.25
412,157,82,2,1713.47
413,157,3,3,1254.77
414,157,71,5,686.35
415,158,32,5,946.3
416,159,39,5,1716.89
417,159,53,4,270.72
418,160,82,5,1713.47
419,161,19,3,1500.43
420,161,70,2,1547.62
421,162,69,4,1729.41
422,162,72,4,541.67
423,163,1,4,129.86
424,164,84,2,1413.4
425,164,1,1,129.86
426,164,62,3,1001.77
427,165,88,4,670.67
428,165,45,2,240.68
429,165,75,5,1997.82
430,166,6,2,159.38
431,166,95,5,1303.17
432,166,73,1,572.85
433,167,12,4,1848.58
434,167,90,1,208.43
435,167,18,5,1587.33
436,168,56,2,1600.63
437,168,79,5,760.65
438,168,41,3,583.55
439,169,97,4,766.22
440,169,35,2,1273.22
441,169,85,3,778.3
442,170,27,4,508.23
443,170,77,3,1081.78
444,170,3,2,1254.77
445,171,78,4,671.56
446,172,2,2,1895.7
447,173,72,4,541.67
448,173,98,4,1257.33
449,173,69,1,1729.41
450,173,84,1,1413.4
451,174,86,4,995.7
452,175,46,4,1731.17
453,176,50,2,1249.04
454,176,99,1,1746.04
455,176,16,4,1817.74
456,177,25,4,89.32
457,177,2,2,1895.7
458,177,96,1,1706.16
459,178,88,3,670.67
460,178,25,1,89.32
461,178,79,3,760.65
462,179,30,4,1999.15
463,179,47,1,1318.74
464,180,64,5,836.83
465,180,27,1,508.23
466,180,26,4,1471.72
467,181,36,5,1938.42
468,182,22,5,1402.47
469,182,25,5,89.32
470,182,87,5,261.23
471,182,73,2,572.85
472,183,76,2,1731.87
473,184,17,3,152.11
474,185,67,3,773.34
475,185,25,1,89.32
476,186,88,5,670.67
477,186,59,1,457.15
478,186,55,1,251.64
479,187,56,4,1600.63
480,187,36,1,1938.42
481,187,88,5,670.67
482,188,64,3,836.83
483,188,67,1,773.34
484,188,93,2,158.91
485,188,7,3,822.95
486,189,69,4,1729.41
487,189,41,1,583.55
488,189,51,2,1254.56
489,189,43,1,83.03
490,190,95,2,1303.17
491,191,10,2,1408.95
492,191,26,2,1471.72
493,191,43,3,83.03
494,191,9,1,470.64
495,192,62,4,1001.77
496,193,76,3,1731.87
497,194,32,1,946.3
498,194,61,2,1298.94
499,194,44,1,635.89
500,195,67,2,773.34
501,195,10,5,1408.95
502,195,80,4,1740.51
503,196,81,4,1147.88
504,197,11,1,151.65
505,198,49,3,383.29
506,199,17,1,152.11
507,200,8,3,945.13
508,200,79,4,760.65
509,200,9,1,470.64
510,200,87,1,261.23
511,201,38,4,648.91
512,202,13,5,1325.75
513,202,97,4,766.22
514,202,30,5,1999.15
515,202,85,5,778.3
516,203,59,4,457.15
517,204,55,5,251.64
518,204,80,1,1740.51
519,204,44,1,635.89
520,204,59,5,457.15
521,205,76,2,1731.87
522,205,14,1,856.03
523,205,2,5,1895.7
524,206,76,2,1731.87
525,207,82,5,1713.47
526,207,33,3,1832.98
527,208,62,5,1001.77
528,208,57,2,628.39
529,208,32,2,946.3
530,208,6,1,159.38
531,209,40,5,829.17
532,209,56,5,1600.63
533,210,40,5,829.17
534,210,70,2,1547.62
535,210,19,4,1500.43
536,211,78,3,671.56
537,211,38,3,648.91
538,211,2,5,1895.7
539,212,8,2,945.13
540,212,65,5,1960.69
541,213,55,3,251.64
542,214,26,2,1471.72
543,214,9,3,470.64
544,215,86,4,995.7
545,215,89,4,1749.64
546,216,75,5,1997.82
547,216,43,5,83.03
548,216,39,4,1716.89
549,217,21,1,257.46
550,217,59,1,457.15
551,217,64,2,836.83
552,218,82,2,1713.47
553,219,60,5,928.28
554,219,28,2,465.56
555,220,95,3,1303.17
556,220,95,4,1303.17
557,220,27,4,508.23
558,220,24,1,881.14
559,221,2,1,1895.7
560,221,46,1,1731.17
561,221,72,1,541.67
562,222,38,4,648.91
563,222,25,5,89.32
564,223,6,1,159.38
565,223,26,2,1471.72
566,223,37,2,702.44
567,224,34,2,1993.92
568,224,44,5,635.89
569,225,23,2,1005.94
570,225,3,2,1254.77
571,226,13,1,1325.75
572,226,87,2,261.23
573,226,49,1,383.29
574,227,27,3,508.23
575,227,59,2,457.15
576,227,48,3,929.33
577,228,68,5,1021.4
578,228,56,1,1600.63
579,229,19,2,1500.43
580,230,25,5,89.32
581,230,49,3,383.29
582,231,77,4,1081.78
583,231,82,2,1713.47
584,231,6,5,159.38
585,232,69,3,1729.41
586,232,20,3,1843.17
587,233,7,3,822.95
588,233,17,5,152.11
589,234,27,1,508.23
590,234,61,5,1298.94
591,234,9,2,470.64
592,234,66,4,919.01
593,235,64,5,836.83
594,235,60,2,928.28
595,235,42,3,1629.0
596,236,92,4,825.86
597,236,61,3,1298.94
598,236,75,4,1997.82
599,236,82,5,1713.47
600,237,27,2,508.23
601,238,58,2,1108.98
602,238,51,2,1254.56
603,239,55,4,251.64
604,239,74,2,1676.58
605,239,48,3,929.33
606,240,18,1,1587.33
607,241,57,5,628.39
608,241,46,2,1731.17
609,241,75,1,1997.82
610,242,66,5,919.01
611,242,44,4,635.89
612,242,58,4,1108.98
613,242,56,4,1600.63
614,243,64,3,836.83
615,243,35,4,1273.22
616,243,4,2,1324.25
617,244,30,3,1999.15
618,244,83,1,96.86
619,244,46,1,1731.17
620,244,38,5,648.91
621,245,36,2,1938.42
622,246,16,1,1817.74
623,247,5,5,487.33
624,247,26,3,1471.72
625,247,26,3,1471.72
626,248,39,3,1716.89
627,248,25,5,89.32
628,248,18,5,1587.33
629,249,2,3,1895.7
630,249,37,3,702.44
631,249,52,4,415.08
632,250,61,5,1298.94
633,251,51,2,1254.56
634,251,30,2,1999.15
635,252,30,5,1999.15
636,252,76,5,1731.87
637,252,97,4,766.22
638,252,93,4,158.91
639,253,11,3,151.65
640,253,25,4,89.32
641,253,99,4,1746.04
642,254,57,4,628.39
643,254,72,1,541.67
644,255,18,5,1587.33
645,255,17,3,152.11
646,255,95,1,1303.17
647,256,85,3,778.3
648,256,44,2,635.89
649,256,54,4,881.85
650,256,88,4,670.67
651,257,42,5,1629.0
652,257,3,5,1254.77
653,257,5,2,487.33
654,258,43,5,83.03
655,258,81,5,1147.88
656,259,49,2,383.29
657,259,51,1,1254.56
658,259,69,4,1729.41
659,259,25,4,89.32
660,260,43,5,83.03
661,261,82,3,1713.47
662,261,12,2,1848.58
663,261,14,5,856.03
664,261,23,1,1005.94
665,262,4,2,1324.25
666,262,26,1,1471.72
667,262,50,3,1249.04
668,262,27,2,508.23
669,263,85,5,778.3
670,263,9,4,470.64
671,263,8,3,945.13
672,264,22,3,1402.47
673,265,51,2,1254.56
674,265,15,2,457.37
675,265,69,4,1729.41
676,265,62,1,1001.77
677,266,27,2,508.23
678,266,27,3,508.23
679,266,56,4,1600.63
680,266,21,5,257.46
681,267,76,2,1731.87
682,267,65,4,1960.69
683,267,36,2,1938.42
684,268,19,4,1500.43
685,269,52,5,415.08
686,270,68,3,1021.4
687,270,73,4,572.85
688,271,60,5,928.28
689,271,6,1,159.38
690,271,37,4,702.44
691,271,45,3,240.68
692,272,79,2,760.65
693,272,54,2,881.85
694,272,23,5,1005.94
695,272,94,4,683.74
696,273,50,2,1249.04
697,273,90,5,208.43
698,273,13,4,1325.75
699,273,90,1,208.43
700,274,21,3,257.46
701,274,81,5,1147.88
702,275,86,1,995.7
703,275,90,2,208.43
704,275,64,4,836.83
705,276,48,1,929.33
706,277,65,3,1960.69
707,278,58,2,1108.98
708,278,33,2,1832.98
709,278,65,1,1960.69
710,278,60,1,928.28
711,279,82,4,1713.47
712,280,44,4,635.89
713,280,25,4,89.32
714,280,5,1,487.33
715,280,33,1,1832.98
716,281,42,4,1629.0
717,281,63,4,1022.66
718,282,11,5,151.65
719,283,92,4,825.86
720,283,18,4,1587.33
721,284,21,2,257.46
722,284,3,5,1254.77
723,284,13,2,1325.75
724,285,16,5,1817.74
725,285,95,4,1303.17
726,285,22,1,1402.47
727,286,87,3,261.23
728,287,57,3,628.39
729,287,23,2,1005.94
730,288,87,5,261.23
731,289,57,1,628.39
732,289,82,5,1713.47
733,290,50,3,1249.04
734,291,7,5,822.95
735,291,1,1,129.86
736,291,99,4,1746.04
737,291,99,2,1746.04
738,292,48,2,929.33
739,292,26,1,1471.72
740,293,54,1,881.85
741,294,44,2,635.89
742,295,29,1,1178.37
743,296,93,2,158.91
744,296,6,4,159.38
745,297,42,3,1629.0
746,298,80,2,1740.51
747,298,70,4,1547.62
748,299,16,2,1817.74
749,299,28,1,465.56
750,299,46,3,1731.17
751,299,23,1,1005.94
752,300,84,3,1413.4
753,300,2,4,1895.7
754,300,28,4,465.56
755,300,29,1,1178.37
756,301,84,5,1413.4
757,301,48,1,929.33
758,301,9,2,470.64
759,302,39,5,1716.89
760,302,64,1,836.83
761,302,92,5,825.86
762,302,73,2,572.85
763,303,13,5,1325.75
764,303,42,4,1629.0
765,303,87,2,261.23
766,304,23,3,1005.94
767,304,86,4,995.7
768,304,9,3,470.64
769,305,78,5,671.56
770,306,49,5,383.29
771,306,82,2,1713.47
772,306,65,5,1960.69
773,306,91,1,40.54
774,307,3,5,1254.77
775,307,98,1,1257.33
776,308,31,4,1156.73
777,308,97,2,766.22
778,308,80,1,1740.51
779,309,18,3,1587.33
780,310,38,2,648.91
781,310,20,4,1843.17
782,310,27,1,508.23
783,310,31,5,1156.73
784,311,95,3,1303.17
785,311,18,3,1587.33
786,311,41,1,583.55
787,311,67,4,773.34
788,312,97,1,766.22
789,312,30,3,1999.15
790,312,44,2,635.89
791,313,70,1,1547.62
792,313,86,2,995.7
793,314,78,4,671.56
794,314,67,3,773.34
795,315,57,1,628.39
796,315,9,4,470.64
797,316,25,1,89.32
798,317,27,2,508.23
799,317,12,2,1848.58
800,318,31,5,1156.73
801,318,11,4,151.65
802,319,40,2,829.17
803,319,93,2,158.91
804,319,32,4,946.3
805,319,23,5,1005.94
806,320,39,3,1716.89
807,320,74,4,1676.58
808,321,35,4,1273.22
809,321,11,3,151.65
810,322,49,2,383.29
811,322,61,4,1298.94
812,322,55,5,251.64
813,322,79,4,760.65
814,323,62,1,1001.77
815,323,98,4,1257.33
816,324,11,3,151.65
817,324,77,5,1081.78
818,324,20,5,1843.17
819,324,94,2,683.74
820,325,49,4,383.29
821,325,40,4,829.17
822,325,37,4,702.44
823,326,10,3,1408.95
824,326,18,4,1587.33
825,326,26,2,1471.72
826,326,25,1,89.32
827,327,65,3,1960.69
828,328,52,4,415.08
829,328,51,3,1254.56
830,328,50,4,1249.04
831,328,40,5,829.17
832,329,53,1,270.72
833,330,50,5,1249.04
834,331,25,4,89.32
835,331,33,3,1832.98
836,332,82,3,1713.47
837,332,90,1,208.43
838,332,84,4,1413.4
839,332,55,2,251.64
840,333,62,1,1001.77
841,333,47,1,1318.74
842,334,34,5,1993.92
843,334,59,2,457.15
844,335,32,5,946.3
845,335,75,2,1997.82
846,335,2,1,1895.7
847,336,83,4,96.86
848,337,91,5,40.54
849,337,11,5,151.65
850,337,25,4,89.32
851,337,22,4,1402.47
852,338,89,3,1749.64
853,338,65,5,1960.69
854,338,85,4,778.3
855,339,94,4,683.74
856,339,97,1,766.22
857,339,14,5,856.03
858,340,19,3,1500.43
859,340,96,2,1706.16
860,340,96,4,1706.16
861,341,1,2,129.86
862,341,63,1,1022.66
863,341,13,1,1325.75
864,342,68,4,1021.4
865,342,84,3,1413.4
866,342,94,4,683.74
867,342,22,2,1402.47
868,343,24,2,881.14
869,343,26,4,1471.72
870,343,24,5,881.14
871,344,58,5,1108.98
872,345,24,2,881.14
873,345,8,2,945.13
874,346,34,4,1993.92
875,346,57,5,628.39
876,347,82,2,1713.47
877,348,38,1,648.91
878,349,16,3,1817.74
879,349,9,3,470.64
880,349,4,5,1324.25
881,349,31,4,1156.73
882,350,87,1,261.23
883,350,2,1,1895.7
884,350,35,1,1273.22
885,350,86,5,995.7
886,351,13,2,1325.75
887,352,49,5,383.29
888,353,63,4,1022.66
889,353,97,3,766.22
890,353,78,4,671.56
891,354,48,3,929.33
892,354,41,2,583.55
893,354,47,4,1318.74
894,355,79,1,760.65
895,355,46,3,1731.17
896,355,13,1,1325.75
897,355,59,4,457.15
898,356,4,5,1324.25
899,356,16,5,1817.74
900,357,90,2,208.43
901,357,48,4,929.33
902,357,80,4,1740.51
903,358,85,2,778.3
904,358,1,3,129.86
905,358,3,3,1254.77
906,358,6,3,159.38
907,359,30,5,1999.15
908,359,63,4,1022.66
909,359,95,5,1303.17
910,359,11,3,151.65
911,360,61,1,1298.94
912,360,94,4,683.74
913,360,38,5,648.91
914,360,25,2,89.32
915,361,17,4,152.11
916,362,39,5,1716.89
917,363,22,4,1402.47
918,363,15,4,457.37
919,363,85,5,778.3
920,363,31,2,1156.73
921,364,22,1,1402.47
922,364,14,4,856.03
923,365,21,3,257.46
924,366,99,3,1746.04
925,366,29,3,1178.37
926,366,86,4,995.7
927,366,86,1,995.7
928,367,69,4,1729.41
929,367,12,3,1848.58
930,368,74,5,1676.58
931,368,9,3,470.64
932,369,92,4,825.86
933,369,84,5,1413.4
934,369,56,2,1600.63
935,369,29,3,1178.37
936,370,38,1,648.91
937,371,12,3,1848.58
938,372,96,1,1706.16
939,372,74,3,1676.58
940,373,41,4,583.55
941,373,74,1,1676.58
942,374,8,5,945.13
943,374,69,2,1729.41
944,374,50,4,1249.04
945,375,99,3,1746.04
946,375,87,2,261.23
947,375,67,5,773.34
948,376,14,4,856.03
949,376,2,5,1895.7
950,377,41,2,583.55
951,377,38,2,648.91
952,377,64,4,836.83
953,377,19,5,1500.43
954,378,19,1,1500.43
955,378,77,3,1081.78
956,378,40,5,829.17
957,379,36,5,1938.42
958,380,81,2,1147.88
959,380,64,3,836.83
960,380,91,4,40.54
961,380,8,3,945.13
962,381,92,2,825.86
963,381,94,2,683.74
964,382,100,2,1238.74
965,383,94,4,683.74
966,383,39,2,1716.89
967,383,3,5,1254.77
968,383,51,3,1254.56
969,384,87,4,261.23
970,384,45,4,240.68
971,384,51,1,1254.56
972,384,68,3,1021.4
973,385,90,2,208.43
974,385,90,5,208.43
975,385,51,1,1254.56
976,386,42,5,1629.0
977,386,7,3,822.95
978,387,84,2,1413.4
979,387,74,2,1676.58
980,387,57,4,628.39
981,387,38,2,648.91
982,388,28,2,465.56
983,388,95,1,1303.17
984,389,93,5,158.91
985,389,14,2,856.03
986,389,49,4,383.29
987,390,8,1,945.13
988,390,46,4,1731.17
989,391,7,1,822.95
990,391,66,3,919.01
991,392,20,4,1843.17
992,392,32,1,946.3
993,392,16,2,1817.74
994,392,51,4,1254.56
995,393,89,5,1749.64
996,393,23,4,1005.94
997,393,100,1,1238.74
998,394,84,4,1413.4
999,394,36,4,1938.42
1000,394,48,1,929.33
1001,394,16,1,1817.74
1002,395,16,4,1817.74
1003,396,3,5,1254.77
1004,396,74,5,1676.58
1005,397,36,1,1938.42
1006,397,76,2,1731.87
1007,397,50,4,1249.04
1008,397,83,4,96.86
1009,398,74,2,1676.58
1010,398,13,3,1325.75
1011,398,9,5,470.64
1012,399,52,1,415.08
1013,399,51,5,1254.56
1014,400,9,5,470.64
1015,400,75,5,1997.82
1016,400,92,1,825.86
1017,400,97,2,766.22
1018,401,24,5,881.14
1019,402,1,5,129.86
1020,402,58,3,1108.98
1021,403,6,2,159.38
1022,404,84,2,1413.4
1023,404,12,5,1848.58
1024,405,97,1,766.22
1025,405,11,1,151.65
1026,405,65,3,1960.69
1027,406,70,2,1547.62
1028,406,55,1,251.64
1029,406,32,3,946.3
1030,407,67,3,773.34
1031,408,18,5,1587.33
1032,408,63,3,1022.66
1033,408,67,3,773.34
1034,408,78,5,671.56
1035,409,89,1,1749.64
1036,409,85,1,778.3
1037,410,5,2,487.33
1038,410,19,3,1500.43
1039,411,18,5,1587.33
1040,411,71,2,686.35
1041,412,36,2,1938.42
1042,412,94,5,683.74
1043,412,55,1,251.64
1044,413,34,4,1993.92
1045,413,84,2,1413.4
1046,413,52,4,415.08
1047,414,33,4,1832.98
1048,415,69,2,1729.41
1049,415,10,3,1408.95
1050,416,92,3,825.86
1051,416,73,5,572.85
1052,417,54,2,881.85
1053,417,41,4,583.55
1054,418,4,5,1324.25
1055,418,32,1,946.3
1056,418,35,1,1273.22
1057,418,69,1,1729.41
1058,419,9,3,470.64
1059,419,82,1,1713.47
1060,419,47,3,1318.74
1061,419,100,3,1238.74
1062,420,29,3,1178.37
1063,420,2,1,1895.7
1064,421,29,4,1178.37
1065,421,14,1,856.03
1066,421,23,5,1005.94
1067,421,94,3,683.74
1068,422,13,5,1325.75
1069,422,45,5,240.68
1070,422,37,5,702.44
1071,422,35,5,1273.22
1072,423,7,2,822.95
1073,424,97,4,766.22
1074,424,24,3,881.14
1075,424,95,5,1303.17
1076,425,62,5,1001.77
1077,425,17,3,152.11
1078,425,2,5,1895.7
1079,425,92,2,825.86
1080,426,19,4,1500.43
1081,426,73,3,572.85
1082,427,93,3,158.91
1083,428,87,5,261.23
1084,428,54,4,881.85
1085,429,57,3,628.39
1086,429,60,5,928.28
1087,430,36,4,1938.42
1088,430,67,2,773.34
1089,430,40,1,829.17
1090,431,53,3,270.72
1091,431,12,1,1848.58
1092,431,10,2,1408.95
1093,432,22,5,1402.47
1094,433,11,3,151.65
1095,434,2,4,1895.7
1096,434,87,5,261.23
1097,434,94,2,683.74
1098,434,62,4,1001.77
1099,435,52,1,415.08
1100,436,96,1,1706.16
1101,436,92,4,825.86
1102,437,32,5,946.3
1103,437,88,5,670.67
1104,437,6,5,159.38
1105,438,22,5,1402.47
1106,438,29,2,1178.37
1107,438,10,3,1408.95
1108,438,18,5,1587.33
