id_pedido,id_cliente,data_pedido,forma_pagamento,status
138,387,2026-04-21,Boleto,Em Transporte
139,349,2026-04-05,Boleto,Em Transporte
140,443,2025-11-27,Boleto,Cancelado
141,226,2025-06-04,Pix,Cancelado
142,324,2026-03-29,Cartão,Cancelado
143,181,2025-02-27,Boleto,Entregue
144,237,2025-11-14,Cartão,Entregue
145,189,2025-02-28,Cartão,Entregue
146,315,2025-04-03,Boleto,Em Transporte
147,237,2026-01-29,Boleto,Em Transporte
148,231,2025-02-12,Boleto,Em Transporte
149,165,2025-07-12,Boleto,Cancelado
150,78,2026-05-29,Pix,Cancelado
151,416,2025-04-16,Cartão,Em Transporte
152,259,2025-03-28,Boleto,Entregue
153,127,2025-02-10,Boleto,Cancelado
154,269,2026-03-26,Boleto,Em Transporte
155,187,2025-06-12,Cartão,Cancelado
156,210,2026-02-01,Cartão,Em Transporte
157,405,2025-02-23,Boleto,Em Transporte
158,34,2025-12-09,Cartão,Entregue
159,146,2026-01-31,Cartão,Em Transporte
160,171,2025-06-03,Pix,Em Transporte
161,470,2025-05-25,Cartão,Cancelado
162,67,2026-02-06,Boleto,Em Transporte
163,159,2025-03-28,Boleto,Cancelado
164,417,2025-12-03,Pix,Em Transporte
165,48,2026-06-24,Boleto,Em Transporte
166,261,2026-03-10,Cartão,Entregue
167,159,2026-01-07,Pix,Entregue
168,486,2025-12-16,Cartão,Entregue
169,71,2025-08-20,Pix,Entregue
170,433,2025-10-30,Pix,Em Transporte
171,20,2026-06-24,Boleto,Cancelado
172,306,2025-05-15,Cartão,Entregue
173,93,2025-06-16,Boleto,Em Transporte
174,370,2025-06-19,Cartão,Entregue
175,187,2026-02-25,Boleto,Em Transporte
176,497,2025-09-01,Cartão,Em Transporte
177,386,2025-10-19,Boleto,Cancelado
178,274,2025-08-28,Pix,Cancelado
179,463,2026-04-26,Pix,Cancelado
180,237,2026-03-28,Cartão,Cancelado
181,271,2026-05-30,Cartão,Entregue
182,411,2025-07-24,Boleto,Entregue
183,27,2025-09-14,Boleto,Cancelado
184,284,2026-01-16,Pix,Em Transporte
185,436,2026-06-13,Pix,Cancelado
186,391,2025-03-27,Pix,Cancelado
187,464,2026-04-06,Boleto,Entregue
188,47,2026-03-24,Pix,Cancelado
189,477,2025-12-24,Pix,Cancelado
190,203,2025-02-24,Boleto,Cancelado
191,198,2025-08-30,Pix,Cancelado
192,15,2025-08-18,Cartão,Entregue
193,406,2025-12-10,Pix,Entregue
194,147,2025-02-09,Cartão,Em Transporte
195,389,2025-05-23,Boleto,Cancelado
196,316,2026-04-05,Pix,Entregue
197,132,2025-01-20,Pix,Entregue
198,217,2026-06-25,Pix,Cancelado
199,155,2025-09-01,Pix,Entregue
200,215,2025-09-02,Boleto,Em Transporte
201,33,2026-04-14,Pix,Cancelado
202,324,2025-01-17,Boleto,Em Transporte
203,368,2025-09-05,Pix,Cancelado
204,1,2026-03-16,Boleto,Cancelado
205,293,2025-09-04,Cartão,Entregue
206,269,2025-03-29,Cartão,Entregue
207,279,2026-06-23,Boleto,Em Transporte
208,200,2025-01-21,Cartão,Entregue
209,192,2026-02-01,Cartão,Em Transporte
210,183,2025-01-17,Pix,Cancelado
211,376,2025-09-04,Boleto,Em Transporte
212,396,2025-04-17,Boleto,Em Transporte
213,69,2025-12-07,Pix,Cancelado
214,417,2025-12-13,Boleto,Entregue
215,357,2026-04-21,Cartão,Em Transporte
216,416,2025-07-06,Pix,Entregue
217,19,2026-04-14,Cartão,Entregue
218,406,2025-02-14,Pix,Entregue
219,478,2025-11-20,Cartão,Em Transporte
220,418,2026-02-12,Boleto,Cancelado
221,19,2025-09-17,Boleto,Entregue
222,183,2025-10-20,Pix,Em Transporte
223,140,2025-12-06,Pix,Cancelado
224,456,2026-03-24,Cartão,Em Transporte
225,459,2026-03-27,Cartão,Cancelado
226,255,2025-07-11,Boleto,Cancelado
227,474,2026-01-12,Boleto,Cancelado
228,373,2025-03-26,Cartão,Entregue
229,309,2026-03-17,Pix,Em Transporte
230,165,2025-10-28,Pix,Entregue
231,339,2025-12-02,Cartão,Cancelado
232,309,2026-04-02,Boleto,Cancelado
233,354,2025-06-20,Cartão,Cancelado
234,22,2026-04-03,Boleto,Cancelado
235,141,2026-03-22,Boleto,Entregue
236,344,2025-03-18,Boleto,Cancelado
237,263,2026-01-08,Boleto,Em Transporte
238,488,2025-06-13,Pix,Entregue
239,18,2026-03-25,Pix,Entregue
240,399,2025-08-30,Boleto,Cancelado
241,197,2026-01-06,Boleto,Entregue
242,348,2025-06-07,Cartão,Cancelado
243,228,2026-01-16,Pix,Em Transporte
244,272,2025-05-21,Cartão,Cancelado
245,333,2025-11-18,Cartão,Entregue
246,14,2025-04-27,Boleto,Entregue
247,266,2026-05-27,Cartão,Em Transporte
248,135,2025-05-01,Cartão,Em Transporte
249,110,2026-04-02,Boleto,Cancelado
250,103,2026-05-18,Pix,Entregue
251,232,2025-03-17,Pix,Em Transporte
252,45,2026-04-01,Boleto,Cancelado
253,364,2025-12-22,Pix,Em Transporte
254,457,2025-10-25,Cartão,Entregue
255,407,2025-06-28,Cartão,Em Transporte
256,63,2025-08-18,Pix,Entregue
257,405,2025-08-31,Cartão,Entregue
258,284,2026-01-05,Boleto,Cancelado
259,412,2026-04-24,Boleto,Entregue
260,34,2025-03-30,Cartão,Cancelado
261,270,2026-05-06,Cartão,Cancelado
262,65,2025-03-17,Cartão,Em Transporte
263,231,2025-03-17,Cartão,Em Transporte
264,177,2026-06-14,Pix,Em Transporte
265,394,2025-07-06,Pix,Cancelado
266,467,2026-05-30,Pix,Entregue
267,79,2026-06-15,Cartão,Entregue
268,166,2025-06-15,Boleto,Entregue
269,486,2025-12-21,Boleto,Cancelado
270,129,2025-03-22,Pix,Em Transporte
271,65,2025-10-09,Boleto,Cancelado
272,258,2025-04-06,Boleto,Entregue
273,88,2025-06-07,Boleto,Em Transporte
274,432,2025-12-12,Boleto,Entregue
275,42,2025-01-30,Pix,Em Transporte
276,334,2025-09-29,Pix,Em Transporte
277,317,2026-03-03,Boleto,Entregue
278,456,2026-05-25,Boleto,Em Transporte
279,329,2025-10-24,Cartão,Cancelado
280,413,2025-09-08,Boleto,Cancelado
281,233,2025-11-01,Pix,Em Transporte
282,81,2025-03-03,Cartão,Cancelado
283,238,2026-05-11,Pix,Cancelado
284,161,2025-05-28,Boleto,Cancelado
285,500,2025-12-20,Cartão,Entregue
286,264,2026-01-15,Boleto,Entregue
287,124,2025-11-23,Cartão,Entregue
288,231,2025-10-01,Pix,Entregue
289,26,2025-04-10,Cartão,Cancelado
290,128,2026-03-05,Pix,Cancelado
291,98,2025-11-17,Pix,Cancelado
292,240,2026-06-12,Cartão,Cancelado
293,12,2026-05-25,Pix,Cancelado
294,235,2026-06-02,Pix,Entregue
295,25,2025-12-28,Pix,Cancelado
296,306,2026-05-22,Boleto,Em Transporte
297,147,2026-04-27,Boleto,Entregue
298,221,2025-04-21,Pix,Cancelado
299,392,2026-01-10,Cartão,Cancelado
300,206,2025-02-16,Pix,Em Transporte
301,186,2025-07-19,Boleto,Cancelado
302,198,2025-03-17,Boleto,Cancelado
303,423,2025-10-14,Boleto,Em Transporte
304,66,2025-05-02,Pix,Cancelado
305,407,2026-01-18,Cartão,Em Transporte
306,387,2026-01-10,Pix,Entregue
307,206,2026-06-06,Boleto,Entregue
308,20,2025-02-16,Pix,Em Transporte
309,412,2025-12-08,Cartão,Em Transporte
310,77,2026-04-13,Boleto,Em Transporte
311,168,2025-05-24,Boleto,Cancelado
312,202,2025-06-16,Boleto,Em Transporte
313,304,2025-11-03,Cartão,Em Transporte
314,273,2026-06-06,Cartão,Em Transporte
315,244,2025-11-03,Pix,Cancelado
316,345,2025-12-06,Pix,Cancelado
317,408,2025-11-12,Boleto,Em Transporte
318,306,2025-01-28,Cartão,Cancelado
319,370,2025-08-22,Pix,Em Transporte
320,88,2026-05-07,Boleto,Em Transporte
321,76,2026-01-25,Boleto,Entregue
322,294,2025-02-02,Boleto,Entregue
323,10,2025-07-15,Cartão,Cancelado
324,78,2026-03-05,Cartão,Em Transporte
325,211,2025-07-28,Boleto,Em Transporte
326,447,2026-04-28,Boleto,Em Transporte
327,362,2025-03-05,Pix,Em Transporte
328,288,2025-08-01,Cartão,Em Transporte
329,270,2026-05-05,Cartão,Cancelado
330,236,2025-06-27,Boleto,Cancelado
331,347,2025-12-29,Boleto,Em Transporte
332,313,2025-09-28,Cartão,Entregue
333,143,2025-09-10,Boleto,Cancelado
334,483,2025-08-19,Cartão,Cancelado
335,354,2025-08-01,Boleto,Cancelado
336,246,2025-11-21,Cartão,Em Transporte
337,148,2025-10-08,Pix,Em Transporte
338,459,2026-01-24,Cartão,Cancelado
339,149,2025-05-30,Pix,Cancelado
340,178,2025-03-22,Cartão,Em Transporte
341,383,2025-09-20,Cartão,Entregue
342,424,2025-07-26,Boleto,Cancelado
343,71,2025-10-06,Pix,Em Transporte
344,125,2025-09-03,Pix,Em Transporte
345,327,2025-08-20,Pix,Entregue
346,212,2025-04-13,Cartão,Em Transporte
347,52,2026-04-29,Boleto,Entregue
348,494,2025-01-06,Boleto,Entregue
349,335,2026-02-21,Cartão,Cancelado
350,388,2025-07-24,Cartão,Cancelado
351,331,2025-10-20,Pix,Entregue
352,274,2025-08-26,Boleto,Em Transporte
353,468,2025-02-08,Pix,Cancelado
354,479,2025-06-30,Pix,Cancelado
355,96,2026-05-23,Boleto,Cancelado
356,5,2025-02-08,Cartão,Em Transporte
357,476,2025-04-20,Cartão,Cancelado
358,329,2026-04-11,Boleto,Em Transporte
359,456,2026-05-21,Pix,Em Transporte
360,140,2026-04-25,Pix,Entregue
361,84,2025-12-05,Boleto,Cancelado
362,368,2025-09-21,Pix,Entregue
363,405,2025-12-12,Cartão,Em Transporte
364,90,2025-07-17,Boleto,Em Transporte
365,424,2026-02-20,Cartão,Em Transporte
366,45,2025-12-02,Cartão,Em Transporte
367,95,2025-04-08,Pix,Cancelado
368,480,2025-11-28,Pix,Entregue
369,197,2025-09-25,Pix,Cancelado
370,489,2025-10-01,Cartão,Cancelado
371,134,2025-01-12,Boleto,Cancelado
372,32,2025-08-30,Boleto,Entregue
373,158,2026-04-22,Pix,Cancelado
374,473,2026-05-30,Boleto,Cancelado
375,328,2025-05-01,Cartão,Cancelado
376,113,2025-08-15,Pix,Cancelado
377,233,2025-06-06,Boleto,Em Transporte
378,213,2026-01-18,Boleto,Em Transporte
379,388,2026-04-28,Boleto,Em Transporte
380,391,2025-08-12,Pix,Em Transporte
381,270,2025-03-25,Cartão,Em Transporte
382,40,2026-01-06,Boleto,Entregue
383,425,2025-03-05,Boleto,Em Transporte
384,294,2025-07-27,Boleto,Entregue
385,168,2025-06-18,Boleto,Cancelado
386,349,2025-04-30,Pix,Em Transporte
387,47,2026-05-16,Boleto,Cancelado
388,233,2025-02-26,Pix,Em Transporte
389,234,2026-03-02,Boleto,Entregue
390,345,2026-04-19,Cartão,Em Transporte
391,203,2025-01-23,Cartão,Entregue
392,297,2025-08-12,Pix,Entregue
393,177,2026-03-10,Boleto,Entregue
394,479,2025-03-03,Pix,Cancelado
395,147,2025-02-02,Cartão,Entregue
396,393,2025-05-19,Boleto,Em Transporte
397,192,2026-03-07,Cartão,Cancelado
398,193,2026-01-22,Pix,Em Transporte
399,335,2025-05-17,Cartão,Entregue
400,276,2025-07-02,Cartão,Em Transporte
401,373,2025-05-11,Pix,Entregue
402,153,2025-01-24,Cartão,Em Transporte
403,273,2026-03-11,Cartão,Entregue
404,236,2025-09-11,Cartão,Entregue
405,97,2025-10-10,Boleto,Entregue
406,415,2025-02-02,Boleto,Cancelado
407,124,2025-01-17,Pix,Entregue
408,305,2025-04-14,Pix,Cancelado
409,126,2025-02-19,Boleto,Entregue
410,225,2026-02-16,Pix,Em Transporte
411,387,2025-08-11,Pix,Entregue
412,149,2026-05-31,Pix,Em Transporte
413,296,2025-11-23,Boleto,Em Transporte
414,122,2025-11-25,Cartão,Entregue
415,114,2026-06-18,Cartão,Cancelado
416,32,2025-10-09,Boleto,Em Transporte
417,321,2025-06-29,Boleto,Cancelado
418,25,2026-05-23,Cartão,Em Transporte
419,403,2026-01-26,Boleto,Cancelado
420,210,2026-03-03,Pix,Cancelado
421,95,2026-01-21,Boleto,Cancelado
422,435,2025-09-04,Pix,Cancelado
423,413,2025-05-28,Cartão,Entregue
424,496,2026-02-27,Cartão,Em Transporte
425,199,2025-05-18,Pix,Cancelado
426,170,2025-07-28,Boleto,Entregue
427,434,2026-04-06,Cartão,Entregue
428,27,2025-07-15,Cartão,Cancelado
429,448,2025-02-10,Pix,Entregue
430,246,2025-08-11,Pix,Cancelado
431,490,2025-11-07,Pix,Entregue
432,493,2025-07-14,Boleto,Entregue
433,469,2026-05-06,Pix,Em Transporte
434,204,2025-07-29,Pix,Em Transporte
435,398,2025-11-26,Cartão,Cancelado
436,274,2026-04-23,Boleto,Cancelado
437,134,2025-11-12,Cartão,Em Transporte
438,239,2026-05-25,Pix,Em Transporte
439,390,2026-04-26,Cartão,Entregue
440,161,2026-01-15,Cartão,Entregue
441,380,2025-08-15,Pix,Entregue
442,284,2025-09-25,Boleto,Em Transporte
443,152,2026-03-04,Pix,Entregue
444,118,2025-12-04,Cartão,Em Transporte
445,256,2025-09-09,Boleto,Em Transporte
446,132,2025-12-12,Cartão,Em Transporte
447,236,2026-05-18,Pix,Em Transporte
448,87,2025-12-27,Pix,Em Transporte
449,95,2026-05-16,Boleto,Em Transporte
450,269,2025-03-02,Pix,Entregue
451,392,2025-02-19,Pix,Cancelado
452,432,2025-05-21,Boleto,Entregue
453,363,2025-03-11,Pix,Entregue
454,259,2025-08-12,Cartão,Cancelado
455,317,2025-03-03,Boleto,Em Transporte
456,338,2026-05-10,Cartão,Entregue
457,273,2025-01-07,Boleto,Cancelado
458,9,2025-01-13,Boleto,Em Transporte
459,275,2025-10-09,Cartão,Entregue
460,417,2026-05-30,Boleto,Em Transporte
461,413,2026-03-17,Pix,Entregue
462,269,2025-04-09,Pix,Entregue
463,318,2025-07-16,Boleto,Cancelado
464,137,2025-12-29,Cartão,Entregue
465,492,2026-01-18,Cartão,Cancelado
466,357,2025-09-07,Pix,Cancelado
467,335,2025-03-24,Boleto,Entregue
468,208,2025-04-06,Cartão,Cancelado
469,29,2026-05-03,Boleto,Entregue
470,43,2025-06-25,Cartão,Cancelado
471,290,2025-12-06,Pix,Em Transporte
472,118,2025-02-13,Pix,Em Transporte
473,139,2026-05-02,Pix,Entregue
474,461,2025-10-15,Boleto,Em Transporte
475,92,2025-02-03,Cartão,Entregue
476,301,2025-08-01,Pix,Em Transporte
477,476,2026-02-12,Pix,Cancelado
478,289,2025-06-16,Pix,Em Transporte
479,347,2026-02-03,Boleto,Cancelado
480,387,2026-01-29,Boleto,Entregue
481,257,2025-03-22,Boleto,Cancelado
482,51,2025-02-24,Cartão,Entregue
483,175,2025-03-19,Boleto,Em Transporte
484,497,2026-02-11,Cartão,Entregue
485,402,2025-10-07,Cartão,Cancelado
486,183,2025-08-22,Boleto,Cancelado
487,96,2026-03-19,Boleto,Em Transporte
488,44,2026-01-25,Boleto,Cancelado
489,366,2025-09-10,Pix,Entregue
490,79,2025-10-02,Cartão,Em Transporte
491,379,2025-06-07,Cartão,Cancelado
492,55,2026-01-05,Pix,Entregue
493,228,2025-11-12,Cartão,Cancelado
494,68,2025-04-15,Pix,Entregue
495,230,2026-03-18,Boleto,Em Transporte
496,209,2026-06-09,Pix,Entregue
497,182,2025-04-02,Boleto,Entregue
498,443,2025-11-29,Cartão,Entregue
499,212,2025-10-26,Cartão,Entregue
500,293,2025-09-06,Boleto,Entregue
501,87,2026-01-25,Pix,Cancelado
502,138,2025-11-05,Cartão,Entregue
503,86,2025-03-06,Cartão,Cancelado
504,154,2026-03-08,Cartão,Entregue
505,129,2026-01-05,Pix,Em Transporte
506,305,2026-05-23,Boleto,Entregue
507,55,2026-04-14,Pix,Cancelado
508,486,2025-01-07,Cartão,Cancelado
509,412,2026-01-25,Cartão,Cancelado
510,221,2025-12-09,Boleto,Em Transporte
511,154,2025-05-20,Cartão,Em Transporte
512,246,2025-07-25,Cartão,Entregue
513,496,2026-02-12,Cartão,Cancelado
514,496,2026-05-18,Boleto,Entregue
515,193,2025-11-30,Cartão,Cancelado
516,59,2026-01-09,Boleto,Entregue
517,350,2025-07-04,Boleto,Entregue
518,483,2026-04-18,Boleto,Entregue
519,409,2026-03-25,Cartão,Em Transporte
520,420,2025-03-12,Cartão,Em Transporte
521,72,2026-05-27,Boleto,Cancelado
522,130,2025-09-05,Boleto,Entregue
523,405,2026-03-10,Cartão,Entregue
524,307,2026-04-05,Cartão,Em Transporte
525,274,2026-02-15,Boleto,Em Transporte
526,279,2026-03-05,Pix,Cancelado
527,56,2025-03-29,Pix,Em Transporte
528,86,2025-12-30,Boleto,Em Transporte
529,289,2025-02-15,Boleto,Em Transporte
530,496,2026-02-14,Cartão,Cancelado
531,6,2025-04-19,Pix,Cancelado
532,262,2025-08-16,Boleto,Em Transporte
533,229,2025-08-15,Cartão,Cancelado
534,396,2026-04-20,Boleto,Em Transporte
535,78,2026-05-28,Cartão,Entregue
536,54,2026-05-10,Cartão,Cancelado
537,60,2025-03-29,Boleto,Entregue
538,160,2025-12-23,Cartão,Cancelado
539,267,2025-07-31,Cartão,Cancelado
540,50,2026-05-03,Cartão,Em Transporte
541,164,2026-04-09,Pix,Cancelado
542,415,2025-02-15,Boleto,Entregue
543,435,2025-01-24,Cartão,Em Transporte
544,347,2025-04-22,Pix,Em Transporte
545,265,2025-09-07,Pix,Em Transporte
546,170,2025-06-13,Boleto,Cancelado
547,119,2026-04-19,Cartão,Em Transporte
548,96,2025-07-08,Boleto,Em Transporte
549,203,2026-03-19,Pix,Em Transporte
550,231,2025-07-22,Boleto,Cancelado
551,3,2026-02-03,Boleto,Entregue
552,143,2025-07-30,Boleto,Entregue
553,410,2025-04-15,Boleto,Entregue
554,167,2026-01-10,Pix,Cancelado
555,135,2025-04-27,Boleto,Cancelado
556,495,2026-06-25,Boleto,Cancelado
557,313,2026-02-02,Cartão,Em Transporte
558,179,2025-04-27,Cartão,Cancelado
559,417,2025-06-26,Boleto,Em Transporte
560,471,2025-11-01,Boleto,Em Transporte
561,345,2025-03-28,Pix,Cancelado
562,123,2025-05-01,Cartão,Entregue
563,192,2025-07-07,Boleto,Entregue
564,199,2026-06-08,Cartão,Em Transporte
565,295,2025-05-22,Cartão,Cancelado
566,250,2025-07-10,Boleto,Em Transporte
567,285,2025-06-27,Pix,Cancelado
568,72,2025-10-23,Pix,Cancelado
569,318,2026-04-07,Pix,Cancelado
570,249,2025-01-10,Pix,Entregue
571,494,2026-01-29,Boleto,Em Transporte
572,210,2026-05-22,Boleto,Cancelado
573,364,2026-03-02,Cartão,Cancelado
574,43,2025-06-21,Boleto,Entregue
575,150,2025-08-14,Pix,Cancelado
576,276,2025-08-19,Cartão,Entregue
577,290,2026-04-14,Boleto,Cancelado
578,58,2026-06-08,Boleto,Entregue
579,397,2025-10-02,Boleto,Cancelado
580,390,2025-02-12,Boleto,Cancelado
581,218,2025-08-12,Pix,Em Transporte
582,153,2025-09-11,Pix,Cancelado
583,179,2025-09-27,Pix,Cancelado
584,398,2025-05-01,Pix,Entregue
585,441,2025-12-26,Boleto,Em Transporte
586,85,2026-03-15,Boleto,Entregue
587,417,2025-07-31,Pix,Entregue
588,273,2025-12-26,Cartão,Em Transporte
589,166,2025-06-22,Boleto,Cancelado
590,294,2025-10-24,Cartão,Em Transporte
591,70,2025-04-08,Cartão,Entregue
592,444,2025-10-11,Boleto,Entregue
593,128,2025-05-16,Pix,Em Transporte
594,425,2025-11-26,Pix,Em Transporte
595,251,2026-02-07,Pix,Em Transporte
596,322,2025-10-03,Cartão,Cancelado
597,39,2026-04-08,Boleto,Entregue
598,264,2026-02-17,Boleto,Cancelado
599,233,2026-01-13,Cartão,Cancelado
600,445,2025-01-03,Boleto,Entregue
601,326,2026-04-15,Boleto,Em Transporte
602,436,2026-01-02,Pix,Em Transporte
603,112,2026-02-12,Cartão,Entregue
604,138,2026-05-22,Cartão,Cancelado
605,281,2025-12-12,Boleto,Entregue
606,404,2026-05-12,Cartão,Em Transporte
607,24,2025-02-19,Pix,Em Transporte
608,9,2026-04-16,Pix,Entregue
609,234,2026-03-28,Pix,Cancelado
610,353,2025-07-27,Pix,Em Transporte
611,82,2025-11-06,Cartão,Entregue
612,129,2026-01-05,Pix,Cancelado
613,27,2025-06-19,Cartão,Em Transporte
614,372,2025-11-09,Boleto,Entregue
615,336,2026-03-16,Pix,Em Transporte
616,1,2025-04-08,Pix,Cancelado
617,68,2025-03-21,Boleto,Entregue
618,349,2026-06-16,Cartão,Entregue
619,357,2025-01-09,Cartão,Entregue
620,356,2026-03-09,Pix,Cancelado
621,118,2025-03-14,Cartão,Entregue
622,53,2025-04-15,Cartão,Cancelado
623,71,2025-11-03,Cartão,Entregue
624,36,2025-05-27,Boleto,Em Transporte
625,313,2025-01-09,Boleto,Entregue
626,180,2026-03-27,Boleto,Entregue
627,471,2025-06-05,Cartão,Em Transporte
628,441,2026-03-30,Pix,Entregue
629,72,2025-04-13,Pix,Em Transporte
630,180,2026-01-29,Cartão,Cancelado
631,127,2025-05-24,Cartão,Em Transporte
632,128,2025-03-28,Boleto,Em Transporte
633,399,2025-10-19,Boleto,Entregue
634,106,2025-11-05,Boleto,Em Transporte
635,97,2026-06-06,Boleto,Cancelado
636,331,2025-10-30,Pix,Entregue
637,198,2026-05-22,Pix,Entregue
638,327,2026-05-27,Boleto,Entregue
639,456,2026-06-25,Pix,Cancelado
640,68,2025-11-21,Cartão,Em Transporte
641,188,2026-03-07,Boleto,Em Transporte
642,391,2025-06-26,Cartão,Entregue
